ms,sm_util_pct,mem_util_pct,cpu_util_pct,vram_used_mb,pcie_rx_kbs,pcie_tx_kbs
23026.493,0,0,0.8,0.000,0,0
23078.008,0,0,0.9,0.000,0,0
23129.486,0,0,0.8,0.000,0,0
23180.949,0,0,0.8,0.000,0,0
23232.429,0,0,0.9,0.000,0,0
23283.931,0,0,0.9,0.000,0,0
23335.382,0,0,1.0,0.000,0,0
23386.930,0,0,1.0,0.000,0,0
23438.478,0,0,1.0,0.000,0,0
23490.006,0,0,1.1,0.000,0,0
23541.406,0,0,1.1,0.000,0,0
23592.867,0,0,0.9,0.000,0,0
23644.397,0,0,0.8,0.000,0,0
23695.932,0,0,0.8,0.000,0,0
23747.437,0,0,0.9,0.000,0,0
23798.870,0,0,0.8,0.000,0,0
23850.386,0,0,0.8,0.000,0,0
23901.962,0,0,0.9,0.000,0,0
23953.374,0,0,0.8,0.000,0,0
24004.884,0,0,0.8,0.000,0,0
24056.386,0,0,0.8,0.000,0,0
24107.878,0,0,0.9,0.000,0,0
24159.412,0,0,0.9,0.000,0,0
24210.951,0,0,0.8,0.000,0,0
24262.444,0,0,0.8,0.000,0,0
24313.929,0,0,0.9,0.000,0,0
24365.773,0,0,0.9,0.000,0,0
24417.171,0,0,0.9,0.000,0,0
24468.643,0,0,26.7,0.000,0,0
24519.920,0,0,11.8,0.000,0,0
24571.144,0,0,30.0,0.000,0,0
24622.633,0,0,29.1,0.000,0,0
24673.687,0,0,27.9,0.000,0,0
24724.791,0,0,24.5,0.000,0,0
24776.117,0,0,27.4,0.000,0,0
24827.630,0,0,20.7,0.000,0,0
24878.861,0,0,16.7,0.000,0,0
24930.845,0,0,15.6,0.000,0,0
24982.207,0,0,16.2,0.000,0,0
25033.269,0,0,10.9,0.000,0,0
25084.445,0,0,11.5,0.000,0,0
25135.534,0,0,8.7,0.000,0,0
25187.059,0,0,8.2,0.000,0,0
25238.492,0,0,5.8,0.000,0,0
25289.543,0,0,5.2,0.000,0,0
25341.009,0,0,3.7,0.000,0,0
25392.419,0,0,6.3,0.000,0,0
25444.140,0,0,1.9,0.000,0,0
25495.587,0,0,5.3,0.000,0,0
25547.043,0,0,6.4,0.000,0,0
25598.264,0,0,4.9,0.000,0,0
25649.329,0,0,2.6,0.000,0,0
25701.030,0,0,3.5,0.000,0,0
25752.631,0,0,0.0,0.000,0,0
25803.945,0,0,0.2,0.000,0,0
25855.224,0,0,0.3,0.000,0,0
25906.842,0,0,0.1,0.000,0,0
25958.305,0,0,0.2,0.000,0,0
26009.786,0,0,0.0,0.000,0,0
26061.217,0,0,0.2,0.000,0,0
26112.642,0,0,0.1,0.000,0,0
26163.910,0,0,0.2,0.000,0,0
26215.218,0,0,0.2,0.000,0,0
26266.694,0,0,0.2,0.000,0,0
26318.176,0,0,0.1,0.000,0,0
26369.638,0,0,0.0,0.000,0,0
26421.004,0,0,0.1,0.000,0,0
26472.299,0,0,0.2,0.000,0,0
26523.502,0,0,0.2,0.000,0,0
26574.943,0,0,0.2,0.000,0,0
26626.369,0,0,0.1,0.000,0,0
26677.836,0,0,0.2,0.000,0,0
26729.294,0,0,0.2,0.000,0,0
26780.680,0,0,0.2,0.000,0,0
26831.848,0,0,0.0,0.000,0,0
26883.140,0,0,0.1,0.000,0,0
26934.577,0,0,0.0,0.000,0,0
26985.899,0,0,0.0,0.000,0,0
27037.334,0,0,0.0,0.000,0,0
27088.615,0,0,0.1,0.000,0,0
27140.085,0,0,0.1,0.000,0,0
27191.585,0,0,0.0,0.000,0,0
27242.900,0,0,0.1,0.000,0,0
27294.274,0,0,0.1,0.000,0,0
27345.792,0,0,0.2,0.000,0,0
27397.236,0,0,0.2,0.000,0,0
27448.705,0,0,0.1,0.000,0,0
27500.065,0,0,0.1,0.000,0,0
