ms,sm_util_pct,mem_util_pct,cpu_util_pct,vram_used_mb,pcie_rx_kbs,pcie_tx_kbs
41089.346,0,0,0.1,8570.798,50,50
41404.794,0,0,0.1,8570.798,50,50
41879.728,0,0,0.0,8570.798,50,0
42213.671,0,0,0.1,8570.798,1250,50
42548.388,0,0,0.0,8570.798,50,50
42639.940,0,0,1.3,8570.798,258800,91850
42751.775,0,0,0.8,8570.798,317050,171350
42843.287,5,0,8.6,8570.798,312750,393200
42935.218,14,0,8.4,8570.798,181300,556200
43026.498,14,0,4.4,8570.798,20050,14650
43118.038,20,0,1.5,8570.798,104300,126450
43210.602,20,0,3.0,8570.798,113400,175700
43302.053,21,0,2.4,8570.798,78300,306050
43393.529,21,0,3.0,8570.798,92350,213350
43485.371,21,0,2.5,8570.798,335850,256350
43576.704,21,0,2.2,8570.798,263700,8450
43667.752,17,0,1.6,8570.798,12350,3350
43759.028,17,0,2.2,8570.798,10000,2550
43850.382,10,1,2.3,8570.798,10500,2250
43941.611,10,1,1.8,8570.798,11150,216300
44033.566,6,0,2.6,8570.798,9450,144050
44125.304,6,0,3.0,8570.798,58350,42350
44216.746,6,0,3.2,8570.798,11800,123500
44308.413,7,0,3.4,8570.798,81150,67900
44399.885,7,0,4.0,8570.798,80700,417400
44491.238,10,0,6.4,8570.798,106100,275000
44582.851,10,0,3.2,8570.798,189650,146400
44675.322,17,0,3.9,8570.798,76850,3000
44786.676,17,0,3.2,8570.798,70750,34200
44878.124,11,0,3.0,8570.798,62100,47750
44969.460,19,0,2.1,8570.798,58200,32550
45060.829,19,0,2.5,8570.798,36100,100000
45152.301,19,0,2.6,8570.798,33900,42700
45244.013,19,0,2.4,8570.798,53700,103700
45335.361,17,0,2.1,8570.798,375800,3100
45426.360,17,0,3.1,8570.798,7700,117550
45517.606,7,0,3.4,8570.798,11650,35250
45608.726,7,0,2.8,8570.798,9800,15700
45699.847,7,0,2.4,8570.798,9700,36750
45790.885,7,0,2.4,8570.798,8450,64450
45882.126,5,0,2.8,8570.798,9400,46250
45973.313,5,0,2.6,8570.798,7300,54950
46064.786,5,0,4.2,8570.798,11300,110050
46176.136,5,0,6.0,8570.798,50,15650
46287.640,5,0,3.3,8570.798,100,53300
46379.019,3,0,2.3,8570.798,589500,38300
46511.111,3,0,3.4,8570.798,316600,74150
46622.881,8,0,2.8,8570.798,50,23250
46714.327,9,0,6.9,8570.798,379600,449900
46805.917,9,0,2.9,8570.798,421350,128200
46897.774,24,1,3.8,8570.798,747200,29600
46989.395,24,1,3.3,8570.798,231450,248150
47080.738,27,1,3.3,8570.798,176650,389500
47172.561,27,1,2.6,8570.798,164550,328600
47265.153,29,1,3.4,8570.798,295000,138850
47356.349,29,1,2.4,8570.798,118250,134600
47447.698,23,1,2.7,8570.798,12950,10200
47538.927,23,1,2.2,8570.798,13200,26050
47630.468,14,1,2.6,8570.798,200,44600
47742.054,8,0,6.8,8570.798,11500,47150
48014.584,8,0,23.2,8570.798,50,50
48147.532,0,0,6.6,8570.798,271450,1200
48339.961,2,0,9.9,8570.798,50,26350
48431.637,1,0,5.1,8570.798,123300,29600
48522.995,1,0,2.1,8570.798,281250,14250
48614.453,5,0,4.3,8570.798,787050,46900
48726.078,5,0,2.1,8570.798,50,50
48918.383,5,0,0.8,8570.798,259450,447750
49009.835,0,0,2.2,8570.798,103200,262700
49101.544,8,0,2.5,8570.798,230500,131900
49193.169,8,0,4.5,8570.798,135450,112050
49284.648,16,1,3.2,8570.798,511000,71650
49377.253,16,1,2.8,8570.798,182650,363700
49468.591,23,0,2.5,8570.798,26050,61300
49560.133,23,0,2.5,8570.798,204800,61350
49651.489,18,0,2.0,8570.798,92650,113950
49743.159,22,0,2.0,8570.798,133950,19300
49834.639,22,0,2.0,8570.798,82200,147500
49926.293,12,0,2.2,8570.798,136050,116800
50017.815,12,0,2.6,8570.798,60200,79500
50109.453,11,0,2.5,8570.798,72400,160250
50201.261,11,0,2.7,8570.798,9850,62600
50292.817,7,0,2.7,8570.798,41650,68350
50384.525,7,0,2.9,8570.798,7350,73750
50476.124,8,0,3.4,8570.798,6300,138350
50567.489,8,0,2.6,8570.798,7850,122850
50659.268,6,0,3.7,8570.798,309250,12700
50750.590,15,0,2.9,8570.798,192550,87250
50841.707,15,0,3.2,8570.798,80800,51650
50933.225,17,0,3.3,8570.798,48750,122700
51024.850,17,0,2.4,8570.798,54350,24000
51116.314,21,0,2.8,8570.798,46500,53200
51207.794,21,0,1.8,8570.798,76150,48700
51299.289,22,0,2.6,8570.798,41000,312350
51390.644,22,0,2.1,8570.798,922250,44500
51481.857,18,0,1.6,8570.798,9550,2450
51573.141,18,0,2.1,8570.798,12100,30150
51664.422,9,0,2.2,8570.798,10600,90300
51755.632,7,0,2.4,8570.798,9750,2550
51846.726,7,0,2.0,8570.798,11050,11950
51938.224,6,0,2.1,8570.798,8500,64250
52029.984,6,0,3.5,8570.798,9150,28100
52121.344,5,0,2.4,8570.798,7050,103100
52212.546,5,0,2.4,8570.798,10350,158600
52304.018,5,0,4.4,8570.798,14850,198750
52395.399,5,0,5.6,8570.798,137100,18850
52486.752,4,0,4.5,8570.798,117350,74500
52578.038,4,0,2.4,8570.798,143850,10750
52669.442,6,0,2.9,8570.798,900,39600
52821.400,7,0,3.2,8570.798,553950,292900
52913.116,7,0,4.6,8570.798,740400,238900
53004.807,11,0,2.9,8570.798,856600,742900
53096.846,27,1,3.6,8570.798,560600,1108100
53188.402,27,1,8.2,8570.798,1104950,292850
53279.633,25,1,5.1,8570.798,811300,99500
53371.353,25,1,2.7,8570.798,176150,430200
53462.782,26,1,2.6,8570.798,209850,520050
53554.155,26,1,2.7,8570.798,1443350,37750
53645.428,29,1,2.5,8570.798,15450,16900
53736.732,29,1,2.2,8570.798,13600,26550
53828.096,11,1,2.9,8570.798,3950,58700
53920.389,9,0,4.4,8570.798,19500,50
54031.736,9,0,9.5,8570.798,50,50
54244.071,1,0,11.3,8570.798,50,27000
54395.811,0,0,2.4,8570.798,1250,50
